Postcode,lat,long
E1 0AA,51.51249,-0.05209
E1 0AB,51.51338,-0.05087
E1 0AD,51.51291,-0.05532
E1 0AE,51.51067,-0.05259
E1 0AF,51.51086,-0.05116
E1 0AG,51.51339,-0.05403
E1 0AH,51.51112,-0.05146
E1 0AJ,51.51125,-0.05278
E1 0AL,51.51100,-0.05252
E1 0AN,51.51129,-0.05236
E1 0AP,51.51139,-0.05171
E1 0AQ,51.51155,-0.05088
E1 0AR,51.51159,-0.05209
E1 0AS,51.51157,-0.05268
E1 0AT,51.51314,-0.05436
E1 0AU,51.51131,-0.05338
E1 0AW,51.51110,-0.05168
E1 0AX,51.51131,-0.05338
E1 0AY,51.51287,-0.05342
E1 0AZ,51.51253,-0.05433
E1 0BA,51.51259,-0.05383
E1 0BB,51.51361,-0.05363
E1 0BD,51.51370,-0.05292
E1 0BE,51.51173,-0.05128
E1 0BF,51.51307,-0.05386
E1 0BG,51.51256,-0.05264
E1 0BH,51.51055,-0.06064
E1 0BJ,51.51017,-0.06126
E1 0BL,51.51093,-0.06003
E1 0BN,51.51203,-0.05201
E1 0BP,51.51016,-0.05670
E1 0BQ,51.51125,-0.05121
E1 0BS,51.51062,-0.05637
E1 0BT,51.51052,-0.05598
E1 0BU,51.51007,-0.05594
E1 0BW,51.51075,-0.05676
E1 0BX,51.51086,-0.05582
E1 0BY,51.51021,-0.05493
E1 0BZ,51.51021,-0.05493
E1 0DA,51.51019,-0.05656
E1 0DB,51.51241,-0.05338
E1 0DD,51.51098,-0.05536
E1 0DE,51.51097,-0.05761
E1 0DF,51.51018,-0.05731
E1 0DG,51.51060,-0.06046
E1 0DH,51.51068,-0.05808
E1 0DJ,51.51260,-0.05017
E1 0DL,51.51328,-0.04915
E1 0DN,51.51030,-0.05547
E1 0DP,51.51330,-0.04944
E1 0DQ,51.51337,-0.04887
E1 0DR,51.51058,-0.05914
E1 0DS,51.51291,-0.05294
E1 0DT,51.51280,-0.04937
E1 0DU,51.51256,-0.04957
E1 0DW,51.50993,-0.05657
E1 0DX,51.51171,-0.05021
E1 0DY,51.51009,-0.05335
