Postcode,lat,long
NG1 1AA,52.95505,-1.14103
NG1 1AB,52.95505,-1.14103
NG1 1AE,52.95604,-1.14166
NG1 1AF,52.95604,-1.14166
NG1 1AG,52.95604,-1.14166
NG1 1AH,52.95505,-1.14103
NG1 1AJ,52.95112,-1.13552
NG1 1AL,52.95518,-1.14257
NG1 1AN,52.95192,-1.14141
NG1 1AP,52.95562,-1.14197
NG1 1AQ,52.95563,-1.14214
NG1 1AR,52.95562,-1.14197
NG1 1AS,52.95562,-1.14197
NG1 1AT,52.95562,-1.14197
NG1 1AU,52.95505,-1.14103
NG1 1AW,52.95562,-1.14197
NG1 1AY,52.95232,-1.14358
NG1 1AZ,52.95518,-1.14257
NG1 1BA,52.95272,-1.15304
NG1 1BB,52.95604,-1.14166
NG1 1BD,52.95604,-1.14166
NG1 1BE,52.95604,-1.14166
NG1 1BF,52.95616,-1.14305
NG1 1BG,52.95459,-1.13972
NG1 1BH,52.95046,-1.14085
NG1 1BJ,52.95393,-1.14122
NG1 1BY,52.95566,-1.14201
NG1 1BZ,52.95610,-1.14093
NG1 1DA,52.95602,-1.14035
NG1 1DB,52.95491,-1.13845
NG1 1DD,52.95565,-1.13906
NG1 1DE,52.95565,-1.13906
NG1 1DF,52.95478,-1.13728
NG1 1DG,52.95609,-1.14291
NG1 1DH,52.95426,-1.13961
NG1 1DJ,52.95255,-1.14166
NG1 1DL,52.95330,-1.13766
NG1 1DN,52.95417,-1.13769
NG1 1DP,52.95352,-1.13908
NG1 1DQ,52.95408,-1.13793
NG1 1DR,52.95364,-1.13871
NG1 1DS,52.95403,-1.13877
NG1 1DT,52.95372,-1.13835
NG1 1DU,52.95382,-1.13806
NG1 1DW,52.95398,-1.13784
NG1 1DX,52.95403,-1.13743
NG1 1DY,52.95606,-1.14166
NG1 1DZ,52.95618,-1.14304
NG1 1EA,52.95535,-1.14033
NG1 1EB,52.95498,-1.13899
NG1 1ED,52.95457,-1.13972
NG1 1EE,52.95418,-1.13930
NG1 1EF,52.95403,-1.14063
NG1 1EG,52.95518,-1.14257
NG1 1EH,52.95433,-1.14088
NG1 1EJ,52.95461,-1.14239
NG1 1EL,52.95569,-1.14456
NG1 1EN,52.95427,-1.14086
NG1 1EP,52.95428,-1.14259
NG1 1EQ,52.95557,-1.14307
NG1 1ER,52.95426,-1.14208
NG1 1ES,52.95432,-1.14122
NG1 1ET,52.95528,-1.14220
NG1 1EU,52.95706,-1.14329
NG1 1EW,52.95616,-1.14386
NG1 1EX,52.95444,-1.14178
NG1 1EY,52.95428,-1.14259
NG1 1EZ,52.95428,-1.14259
NG1 1FA,52.95255,-1.14166
NG1 1FB,52.95446,-1.14254
NG1 1FD,52.95411,-1.14235
NG1 1FE,52.95384,-1.14268
NG1 1FF,52.95361,-1.14277
NG1 1FG,52.95381,-1.14209
NG1 1FH,52.95385,-1.14053
NG1 1FJ,52.95398,-1.14268
NG1 1FL,52.95387,-1.14042
NG1 1FN,52.95337,-1.14112
NG1 1FP,52.95349,-1.14039
NG1 1FR,52.95337,-1.14112
NG1 1FS,52.95338,-1.14261
NG1 1FY,52.95086,-1.13929
NG1 1FZ,52.95066,-1.13968
NG1 1GA,52.95345,-1.14159
NG1 1GB,52.95318,-1.14187
NG1 1GD,52.95105,-1.13895
NG1 1GE,52.95304,-1.14178
NG1 1GF,52.95105,-1.13729
NG1 1GG,52.95253,-1.13726
NG1 1GH,52.95322,-1.14192
NG1 1GJ,52.95321,-1.14233
NG1 1GL,52.95135,-1.13967
NG1 1GN,52.95151,-1.13810
NG1 1GP,52.95061,-1.13956
NG1 1GQ,52.95079,-1.13792
NG1 1GR,52.95079,-1.13978
NG1 1GS,52.95078,-1.14085
NG1 1GT,52.95052,-1.14293
NG1 1GU,52.95303,-1.14238
NG1 1GW,52.95026,-1.14204
NG1 1GX,52.95011,-1.14249
NG1 1GY,52.95029,-1.14360
NG1 1GZ,52.94983,-1.14531
NG1 1HA,52.95254,-1.14167
NG1 1HB,52.95258,-1.14204
NG1 1HD,52.95186,-1.14210
NG1 1HE,52.95115,-1.14408
NG1 1HF,52.95124,-1.14515
NG1 1HG,52.95604,-1.14166
NG1 1HH,52.95566,-1.14201
NG1 1HJ,52.95070,-1.14564
NG1 1HL,52.95604,-1.14166
NG1 1HN,52.95067,-1.14424
NG1 1HP,52.95070,-1.14564
NG1 1HQ,52.95123,-1.14513
NG1 1HR,52.95255,-1.14166
NG1 1HS,52.95050,-1.14293
NG1 1HT,52.95255,-1.14166
NG1 1HU,52.95566,-1.14201
NG1 1HW,52.95091,-1.14257
NG1 1HX,52.95092,-1.14224
NG1 1HY,52.95116,-1.14140
NG1 1HZ,52.95116,-1.14058
NG1 1JA,52.95128,-1.14097
NG1 1JB,52.95085,-1.14117
NG1 1JD,52.95068,-1.14266
NG1 1JE,52.95500,-1.14104
NG1 1JF,52.95076,-1.14086
NG1 1JG,52.95067,-1.14117
NG1 1JH,52.95130,-1.14195
NG1 1JJ,52.95176,-1.14008
NG1 1JL,52.95158,-1.14179
NG1 1JN,52.95166,-1.14108
NG1 1JP,52.95166,-1.14108
NG1 1JQ,52.95076,-1.14086
NG1 1JR,52.95566,-1.14201
NG1 1JS,52.95269,-1.14271
NG1 1JT,52.95290,-1.14278
NG1 1JU,52.95255,-1.14174
NG1 1JW,52.95270,-1.14058
NG1 1JX,52.95604,-1.14166
NG1 1JY,52.95271,-1.14042
NG1 1JZ,52.95353,-1.14137
NG1 1LA,52.95246,-1.13965
NG1 1LB,52.95293,-1.14132
NG1 1LD,52.95207,-1.14229
NG1 1LE,52.95236,-1.14352
NG1 1LF,52.95500,-1.14104
NG1 1LG,52.95339,-1.14374
NG1 1LH,52.95285,-1.14381
NG1 1LJ,52.95232,-1.14352
NG1 1LL,52.95196,-1.14296
NG1 1LN,52.95293,-1.14132
NG1 1LP,52.95292,-1.14316
NG1 1LQ,52.95566,-1.14201
NG1 1LR,52.95505,-1.14103
NG1 1LS,52.95215,-1.14259
NG1 1LT,52.95604,-1.14166
NG1 1LU,52.95566,-1.14201
NG1 1LW,52.95217,-1.14162
NG1 1LX,52.95146,-1.14230
NG1 1LY,52.95271,-1.14016
NG1 1LZ,52.95604,-1.14166
NG1 1NA,52.95068,-1.14266
NG1 1NB,52.95153,-1.14282
NG1 1ND,52.95254,-1.14167
NG1 1NE,52.95170,-1.14301
NG1 1NF,52.95224,-1.14245
NG1 1NG,52.95285,-1.14381
NG1 1NH,52.95258,-1.14204
NG1 1NJ,52.95259,-1.14128
NG1 1NL,52.95363,-1.14448
NG1 1NN,52.95344,-1.14460
NG1 1NP,52.95339,-1.14409
NG1 1NQ,52.95604,-1.14166
NG1 1NR,52.95305,-1.14492
NG1 1NS,52.95500,-1.14104
NG1 1NT,52.95604,-1.14166
NG1 1NU,52.95330,-1.14438
NG1 1NW,52.95310,-1.14383
NG1 1NX,52.95305,-1.14492
NG1 1NY,52.95340,-1.14558
NG1 1NZ,52.95250,-1.14560
NG1 1PA,52.95292,-1.14506
NG1 1PB,52.95279,-1.14464
NG1 1PD,52.95292,-1.14506
NG1 1PE,52.95505,-1.14103
NG1 1PF,52.95311,-1.14447
NG1 1PG,52.95160,-1.14562
NG1 1PH,52.95257,-1.14447
NG1 1PJ,52.95207,-1.14400
NG1 1PL,52.95346,-1.14147
NG1 1PN,52.95250,-1.14560
NG1 1PP,52.95500,-1.14104
NG1 1PQ,52.95250,-1.14560
NG1 1PR,52.95191,-1.14339
NG1 1PS,52.95182,-1.14375
NG1 1PT,52.95158,-1.14264
NG1 1PU,52.95163,-1.14374
NG1 1PW,52.95249,-1.14411
NG1 1PX,52.95233,-1.14465
NG1 1PY,52.95153,-1.14362
NG1 1PZ,52.95152,-1.14327
NG1 1QA,52.95121,-1.14400
NG1 1QB,52.95604,-1.14166
NG1 1QD,52.95604,-1.14166
NG1 1QE,52.95226,-1.14470
NG1 1QF,52.95191,-1.14539
NG1 1QG,52.95604,-1.14166
NG1 1QH,52.95604,-1.14166
NG1 1QJ,52.95294,-1.14135
NG1 1QL,52.95191,-1.14539
NG1 1QN,52.95168,-1.14452
NG1 1QP,52.95278,-1.14485
NG1 1QQ,52.95282,-1.14536
NG1 1QR,52.95284,-1.14525
NG1 1QS,52.95289,-1.14500
NG1 1QW,52.95604,-1.14166
NG1 1QX,52.95130,-1.14195
NG1 1RB,52.95052,-1.14293
NG1 1WA,52.95500,-1.14104
NG1 1WB,52.95566,-1.14201
NG1 1WZ,52.95500,-1.14104
NG1 1XA,52.95604,-1.14166
NG1 1XB,52.95604,-1.14166
NG1 1XD,52.95566,-1.14201
NG1 1XE,52.95500,-1.14104
NG1 1XF,52.95500,-1.14104
NG1 1XN,52.95505,-1.14103
NG1 1XQ,52.95134,-1.14175
NG1 1XU,52.95500,-1.14104
NG1 1XZ,52.95505,-1.14103
NG1 1YE,52.95505,-1.14103
NG1 1YQ,52.95505,-1.14103
NG1 1YR,52.95134,-1.14175
NG1 1ZF,52.95134,-1.14175
NG1 1ZG,52.95250,-1.14560
NG1 1ZQ,52.95500,-1.14104
NG1 1ZR,52.95134,-1.14175
NG1 1ZZ,52.95604,-1.14166
NG1 2AA,52.95479,-1.15099
NG1 2AB,52.95481,-1.15096
NG1 2AD,52.95527,-1.14866
NG1 2AE,52.95540,-1.14944
NG1 2AF,52.95433,-1.15003
NG1 2AG,52.95525,-1.14986
NG1 2AH,52.95604,-1.14166
NG1 2AJ,52.95529,-1.14904
NG1 2AL,52.95582,-1.15019
NG1 2AN,52.95548,-1.14907
NG1 2AP,52.95489,-1.14834
NG1 2AQ,52.95480,-1.14926
NG1 2AR,52.95497,-1.14914
NG1 2AS,52.95430,-1.14927
NG1 2AT,52.95402,-1.14929
NG1 2AU,52.95352,-1.14781
NG1 2AW,52.95166,-1.15306
NG1 2AX,52.95394,-1.14932
NG1 2AY,52.95467,-1.14964
NG1 2AZ,52.95424,-1.14923
NG1 2BA,52.95279,-1.15030
NG1 2BB,52.95288,-1.15018
NG1 2BD,52.95604,-1.14166
NG1 2BE,52.95165,-1.15157
NG1 2BF,52.95435,-1.15022
NG1 2BG,52.95343,-1.15005
NG1 2BH,52.95391,-1.14971
NG1 2BJ,52.95604,-1.14166
NG1 2BL,52.95434,-1.15013
NG1 2BN,52.95470,-1.15051
NG1 2BP,52.95491,-1.14976
NG1 2BQ,52.95435,-1.15301
NG1 2BS,52.95346,-1.14906
NG1 2BT,52.95489,-1.15021
NG1 2BU,52.95435,-1.15301
NG1 2BW,52.95347,-1.14832
NG1 2BX,52.95489,-1.14834
NG1 2BY,52.95353,-1.14832
NG1 2BZ,52.95339,-1.14860
NG1 2DA,52.95459,-1.14824
NG1 2DB,52.95392,-1.14785
NG1 2DD,52.95339,-1.14829
NG1 2DE,52.95644,-1.15051
NG1 2DF,52.95566,-1.14201
NG1 2DG,52.95347,-1.14832
NG1 2DH,52.95399,-1.14891
NG1 2DJ,52.95604,-1.14166
NG1 2DL,52.95435,-1.15301
NG1 2DN,52.95400,-1.14889
NG1 2DP,52.95401,-1.14911
NG1 2DQ,52.95389,-1.14996
NG1 2DR,52.95391,-1.14995
NG1 2DS,52.95405,-1.15081
NG1 2DT,52.95342,-1.14898
NG1 2DU,52.95343,-1.15005
NG1 2DW,52.95604,-1.14166
NG1 2DX,52.95251,-1.14709
NG1 2DY,52.95343,-1.15005
NG1 2DZ,52.95399,-1.14830
NG1 2EA,52.95366,-1.14555
NG1 2EB,52.95383,-1.14559
NG1 2ED,52.95383,-1.14577
NG1 2EE,52.95341,-1.14707
NG1 2EF,52.95340,-1.14558
NG1 2EG,52.95354,-1.14631
NG1 2EH,52.95379,-1.14697
NG1 2EJ,52.95352,-1.14781
NG1 2EL,52.95353,-1.14689
NG1 2EN,52.95331,-1.14716
NG1 2EP,52.95604,-1.14166
NG1 2EQ,52.95345,-1.14347
NG1 2ER,52.95343,-1.15005
NG1 2ES,52.95342,-1.14856
NG1 2ET,52.95341,-1.14767
NG1 2EU,52.95252,-1.14858
NG1 2EW,52.95336,-1.14645
NG1 2EX,52.95312,-1.14614
NG1 2EY,52.95341,-1.14707
NG1 2EZ,52.95604,-1.14166
NG1 2FF,52.95299,-1.14668
NG1 2FH,52.95252,-1.14858
NG1 2FJ,52.95251,-1.14709
NG1 2FP,52.95251,-1.14709
NG1 2FR,52.95251,-1.14709
NG1 2FS,52.95283,-1.14601
NG1 2FU,52.95069,-1.14415
NG1 2FX,52.95251,-1.14709
NG1 2FZ,52.95224,-1.14620
NG1 2GB,52.95163,-1.14571
NG1 2GD,52.95161,-1.14711
NG1 2GE,52.95347,-1.14832
NG1 2GF,52.95194,-1.14625
NG1 2GG,52.95136,-1.14565
NG1 2GH,52.95184,-1.14747
NG1 2GJ,52.95194,-1.14659
NG1 2GL,52.95210,-1.14667
NG1 2GN,52.95171,-1.14688
NG1 2GP,52.95177,-1.14724
NG1 2GQ,52.95220,-1.14740
NG1 2GR,52.95241,-1.14704
NG1 2GS,52.95292,-1.14745
NG1 2GT,52.95604,-1.14166
NG1 2GU,52.95604,-1.14166
NG1 2GW,52.95161,-1.14711
NG1 2GX,52.95161,-1.14711
NG1 2GY,52.95347,-1.14832
NG1 2GZ,52.95566,-1.14201
NG1 2HA,52.95263,-1.14676
NG1 2HB,52.95254,-1.14648
NG1 2HD,52.95161,-1.14711
NG1 2HE,52.95161,-1.14711
NG1 2HG,52.95245,-1.14666
NG1 2HH,52.95243,-1.14647
NG1 2HJ,52.95566,-1.14201
NG1 2HL,52.95304,-1.14697
NG1 2HN,52.95282,-1.14859
NG1 2HP,52.95161,-1.14711
NG1 2HQ,52.95305,-1.14751
NG1 2HT,52.95279,-1.15030
