Postcode,lat,long
SP1 1AA,51.07055,-1.79578
SP1 1AB,51.07055,-1.79578
SP1 1AD,51.07429,-1.76957
SP1 1AF,51.07397,-1.77106
SP1 1AG,51.06922,-1.79245
SP1 1AH,51.06877,-1.79425
SP1 1AJ,51.06936,-1.79617
SP1 1AL,51.07027,-1.79387
SP1 1BA,51.06933,-1.79700
SP1 1BB,51.07009,-1.79626
SP1 1BD,51.06942,-1.79784
SP1 1BE,51.07364,-1.79868
SP1 1BG,51.07040,-1.79493
SP1 1BH,51.07004,-1.79584
SP1 1BL,51.06982,-1.79708
SP1 1BN,51.07108,-1.79611
SP1 1BP,51.07004,-1.79584
SP1 1BQ,51.07036,-1.79528
SP1 1BT,51.06963,-1.79726
SP1 1BW,51.07063,-1.79662
SP1 1BX,51.06644,-1.79443
SP1 1BZ,51.06824,-1.79585
SP1 1DA,51.07007,-1.79564
SP1 1DB,51.07124,-1.80359
SP1 1DE,51.07006,-1.79527
SP1 1DF,51.06986,-1.79474
SP1 1DH,51.06981,-1.79454
SP1 1DL,51.07008,-1.79456
SP1 1DN,51.07004,-1.79584
SP1 1DP,51.07093,-1.79445
SP1 1DR,51.07113,-1.79431
SP1 1DS,51.07004,-1.79584
SP1 1DT,51.07070,-1.79393
SP1 1DU,51.07053,-1.79387
SP1 1DW,51.06994,-1.79410
SP1 1DX,51.07029,-1.79304
SP1 1DY,51.07017,-1.79289
SP1 1DZ,51.07018,-1.79488
SP1 1EA,51.07015,-1.79287
SP1 1EB,51.07001,-1.79323
SP1 1ED,51.07114,-1.79337
SP1 1EE,51.07075,-1.79256
SP1 1EF,51.07005,-1.79199
SP1 1EG,51.07104,-1.79167
SP1 1EH,51.07004,-1.79299
SP1 1EJ,51.06901,-1.79446
SP1 1EL,51.06939,-1.79370
SP1 1EN,51.06824,-1.79300
SP1 1EP,51.06885,-1.79530
SP1 1EQ,51.07125,-1.79210
SP1 1ER,51.06989,-1.79293
SP1 1ES,51.06824,-1.79585
SP1 1ET,51.06824,-1.79585
SP1 1EU,51.06891,-1.79549
SP1 1EW,51.06824,-1.79442
SP1 1EX,51.06874,-1.79459
SP1 1EY,51.06918,-1.79392
SP1 1EZ,51.06914,-1.79585
SP1 1FD,51.07049,-1.79231
SP1 1HA,51.06914,-1.79442
SP1 1HB,51.06979,-1.79366
SP1 1HD,51.06914,-1.79442
SP1 1HE,51.06925,-1.79285
SP1 1HF,51.06914,-1.79442
SP1 1HG,51.06950,-1.79220
