Postcode,lat,long
ZE1 0NA,60.16004,-1.18206
ZE1 0NB,60.15011,-1.17240
ZE1 0ND,60.15786,-1.14772
ZE1 0NE,60.16274,-1.16857
ZE1 0NF,60.16182,-1.17174
ZE1 0NG,60.16225,-1.16944
ZE1 0NH,60.15861,-1.15175
ZE1 0NJ,60.15722,-1.14824
ZE1 0NL,60.15731,-1.15064
ZE1 0NN,60.16080,-1.17287
ZE1 0NP,60.15714,-1.15320
ZE1 0NQ,60.15711,-1.15509
ZE1 0NR,60.15693,-1.15555
ZE1 0NS,60.15633,-1.15401
ZE1 0NT,60.15760,-1.15692
ZE1 0NU,60.15949,-1.17429
ZE1 0NW,60.15322,-1.15526
ZE1 0NX,60.15853,-1.15830
ZE1 0NY,60.15793,-1.15364
ZE1 0NZ,60.16045,-1.17163
ZE1 0PA,60.15750,-1.15811
ZE1 0PB,60.15766,-1.15886
ZE1 0PD,60.15582,-1.15901
ZE1 0PE,60.15753,-1.15499
ZE1 0PF,60.16412,-1.16214
ZE1 0PG,60.16348,-1.16096
ZE1 0PH,60.15970,-1.15798
ZE1 0PJ,60.15335,-1.15940
ZE1 0PL,60.15301,-1.15919
ZE1 0PN,60.15808,-1.15960
ZE1 0PP,60.15911,-1.15855
ZE1 0PQ,60.16049,-1.15847
ZE1 0PR,60.16304,-1.16182
ZE1 0PS,60.16696,-1.16471
ZE1 0PT,60.17034,-1.16893
ZE1 0PU,60.18772,-1.15292
ZE1 0PW,60.16458,-1.16246
ZE1 0PX,60.16697,-1.16472
ZE1 0PY,60.17672,-1.15781
ZE1 0PZ,60.17013,-1.17312
ZE1 0QA,60.15376,-1.15355
ZE1 0QB,60.15278,-1.15245
ZE1 0QD,60.15307,-1.15745
ZE1 0QE,60.16270,-1.16496
ZE1 0QF,60.16258,-1.16632
ZE1 0QG,60.16166,-1.16654
ZE1 0QH,60.16132,-1.16932
ZE1 0QJ,60.15230,-1.15539
ZE1 0QL,60.15375,-1.15525
ZE1 0QN,60.15224,-1.15612
ZE1 0QP,60.15454,-1.15109
ZE1 0QQ,60.15255,-1.15802
ZE1 0QR,60.15139,-1.15796
ZE1 0QS,60.15046,-1.15769
ZE1 0QT,60.15163,-1.15723
ZE1 0QU,60.16915,-1.16457
ZE1 0QW,60.16258,-1.16223
ZE1 0QX,60.14977,-1.15746
ZE1 0QY,60.15955,-1.18075
ZE1 0QZ,60.15073,-1.15140
ZE1 0RA,60.15085,-1.15957
ZE1 0RB,60.15143,-1.15340
ZE1 0RD,60.14798,-1.16240
ZE1 0RE,60.14664,-1.16923
ZE1 0RF,60.15037,-1.17019
ZE1 0RG,60.14885,-1.16984
ZE1 0RH,60.14573,-1.16275
ZE1 0RJ,60.14606,-1.16339
ZE1 0RL,60.14310,-1.16562
ZE1 0RN,60.14208,-1.16241
ZE1 0RP,60.14943,-1.17070
ZE1 0RQ,60.14288,-1.17831
ZE1 0RR,60.13960,-1.18583
ZE1 0RS,60.14617,-1.16434
ZE1 0RT,60.14505,-1.16493
ZE1 0RU,60.14529,-1.16551
ZE1 0RW,60.14575,-1.16635
ZE1 0RX,60.14631,-1.16659
ZE1 0RY,60.14703,-1.16547
ZE1 0RZ,60.14809,-1.17004
ZE1 0SA,60.14426,-1.16678
ZE1 0SB,60.14548,-1.16810
ZE1 0SD,60.14361,-1.17033
ZE1 0SE,60.14694,-1.17152
ZE1 0SF,60.14579,-1.17515
ZE1 0SG,60.14548,-1.17694
ZE1 0SH,60.14355,-1.17649
ZE1 0SJ,60.14347,-1.17548
ZE1 0SL,60.14320,-1.17466
ZE1 0SN,60.14317,-1.17356
ZE1 0SP,60.14250,-1.17538
ZE1 0SQ,60.14345,-1.17757
ZE1 0SR,60.14350,-1.18243
ZE1 0SS,60.14371,-1.16869
ZE1 0ST,60.14497,-1.17842
ZE1 0SU,60.14372,-1.18007
ZE1 0SW,60.15854,-1.14682
ZE1 0SX,60.14353,-1.17287
ZE1 0SY,60.15077,-1.16905
ZE1 0SZ,60.14250,-1.16799
ZE1 0TA,60.16860,-1.16564
ZE1 0TB,60.15106,-1.15567
ZE1 0TD,60.14537,-1.21420
ZE1 0TE,60.13974,-1.27255
ZE1 0TF,60.13981,-1.27218
ZE1 0TG,60.14977,-1.15575
ZE1 0TH,60.13652,-1.27433
ZE1 0TJ,60.13762,-1.28084
ZE1 0TL,60.13932,-1.27488
ZE1 0TN,60.13988,-1.27341
ZE1 0TP,60.13751,-1.27348
